,Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
1,"Lil Nas,",Old Town Road,1,1,7,7/6/19,5-Apr-19,"Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap","Jozzy, Atticus ross, Trent reznor, Billy ray cyrus, Lil nas x","Old Town Road Remix 
Oh, oh-oh
Oh
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride til I can't no more
Kio, Kio
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Riding on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'
Riding on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull riding and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride til I can't no more
Hat down, cross town, living like a rockstar
Spent a lot of money on my brand new guitar
Baby's got a habit: diamond rings and Fendi sports bras
Riding down Rodeo in my Maserati sports car
Got no stress, I've been through all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride til I can't no more
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride til I can't no more
",Billy Ray Cyrus
2,"Shawn Mendes, Camila Cabello",Senorita,2,NA,NA,7/6/19,21-Jun-19,Pop,"Cashmere cat, Jack patterson, Charli xcx, Benny blanco, Watt, Ali tamposi, Camila cabello, Shawn mendes","Senorita 
I love it when you call me senorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya
Land in Miami
The air was hot from summer rain
Sweat dripping off me
Before I even knew her name, la-la-la
It felt like ooh-la-la-la, yeah, no
Sapphire moonlight
We danced for hours in the sand
Tequila Sunrise
Her body fit right in my hands, la-la-la
It felt like ooh-la-la-la, yeah
I love it when you call me senorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when you call me senorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya
Locked in the hotel
There's just some things that never change
You say we're just friends
But friends don't know the way you taste, la-la-la La, la, la
'Cause you know it's been a long time coming
Don't ya let me fall, oh
Ooh, when your lips undress me, hooked on your tongue
Ooh, love, your kiss is deadly, don't stop
I love it when you call me senorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when you call me senorita
I wish it wasn't so damn hard to leave ya So damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la True la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya
All along, I've been coming for ya For you
And I hope it meant something to you Oh
Call my name, I'll be coming for ya Coming for you
Coming for ya Coming for you
For ya
For ya Oh, she loves it when I call
For ya
Ooh, I should be runnin'
Ooh, you keep me coming for ya
",
3,Billie Eilish,Bad Guy,3,2,13,7/6/19,29-Mar-19,"Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop","Billie eilish, Finneas","bad guy 
White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creeping around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh
I'm the bad guy
I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the 
She'll pity the men I know
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh
I'm the bad guy, duh
I'm only good at being bad, bad
I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's cause I'm wearing your cologne
I'm a bad guy
I'm a bad guy
Bad guy, bad guy
I'm a bad
",
4,Khalid,Talk,4,3,20,7/6/19,7-Feb-19,"Synth-Pop,Pop","Howard lawrence, Guy lawrence, Khalid","Talk 
Can we just talk? Can we just talk?
Talk about where we're goin'
Before we get lost, lend me your thoughts
Can't get what we want without knowin'
I've never felt like this before
I apologize if I'm moving too far
Can we just talk? Can we just talk?
Figure out where we're goin'
Yeah, started off right
I can see it in your eyes
I can tell that you're wanting more
What's been on your mind?
There's no reason we should hide
Tell me something I ain't heard before
Oh, I've been dreaming bout it
And it's you I'm on
So stop thinking bout it
Can we just talk? Can we just talk?
Talk about where we're goin'
Before we get lost, lend me your thoughts Yeah
Can't get what we want without knowing No
I've never felt like this before
I apologize if I'm moving too far
Can we just talk? Can we just talk?
Figure out where we're goin'
Oh, nah
Penthouse view, left some flowers in the room
I'll make sure I leave the door unlocked
Now I'm on the way, swear I won't be late
I'll be there by five o'clock
Oh, you've been dreaming bout it
And I'm what you want
So stop thinking bout it
Can we just talk? Oh Can we just talk?
Talk about where we're goin'
Before we get lost, lend me your thoughts
Can't get what we want without knowin'
I've never felt like this before
I apologize if I'm moving too far
Can we just talk? Can we just talk?
Figure out where we're goin'
Figure out where we're goin'
",
5,"Ed Sheeran, Justin Bieber",I Don't Care,5,2,7,7/6/19,10-May-19,"Canada,UK,Dance,Dance-Pop,Pop","Ed sheeran, Justin bieber, Shellback, Max martin, Poo bear, Fred gibson","I Don't Care 
I'm at a party I don't wanna be at
And I don't ever wear a suit and tie, yeah
Wondering if I could sneak out the back
Nobody's even looking me in my eyes
Then you take my hand
Finish my drink, say, Shall we dance? Hell, yeah
You know I love ya, did I ever tell ya?
You make it better like that
Don't think I fit in at this party
Everyone's got so much to say Yeah
I always feel like I'm nobody, mmm
Who wants to fit in anyway?
'Cause I don't care when I'm with my baby, yeah
All the bad things disappear
And you're making me feel like maybe I am somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
'Cause I don't care as long as you just hold me near
You can take me anywhere
And you're making me feel like I'm loved by somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
We at a party we don't wanna be at
Tryna talk, but we can't hear ourselves
Read your lips, I'd rather kiss em right back
With all these people all around
I'm crippled with anxiety
But I'm told it's where I'm s'posed to be
You know what? It's kinda crazy cause I really don't mind
When you make it better like that
Don't think we fit in at this party
Everyone's got so much to say, oh yeah, yeah
When we walked in, I said I'm sorry, mmm
But now I think that we should stay
'Cause I don't care when I'm with my baby, yeah
All the bad things disappear
Yeah, you're making me feel like maybe I am somebody
I can deal with the bad nights when I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh Oh yeah, yeah, yeah
'Cause I don't care as long as you just hold me near
You can take me anywhere
And you're making me feel like I'm loved by somebody
I can deal with the bad nights when I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh No
I don't like nobody but you, it's like you're the only one here
I don't like nobody but you, baby, I don't care
I don't like nobody but you, I hate everyone here
I don't like nobody but you, baby, yeah
'Cause I don't care Don't care
When I'm with my baby, yeah Oh yeah
All the bad things disappear Disappear
And you're making me feel like maybe I am somebody Maybe I'm somebody
I can deal with the bad nights With the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh Oh yeah, yeah, yeah
'Cause I don't care as long as you just hold me near Me near
You can take me anywhere Anywhere, anywhere
And you're making me feel like I'm loved by somebody
I'm loved by somebody, yeah, yeah, yeah
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
",
6,Jonas Brothers,Sucker,6,1,17,7/6/19,1-Mar-19,"Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop","Ryan tedder, Louis bell, Frank dukes, Nick jonas, Joe jonas, Kevin jonas","Sucker 
We go together
Better than birds of a feather, you and me
We change the weather, yeah
I'm feeling heat in December when you're round me
I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious
I'm a sucker for you
You say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you About you, about you About you
And you're making the typical me break my typical rules
It's true, I'm a sucker for you, yeah
Don't complicate it Yeah
'Cause I know you and you know everything about me
I can't remember Yeah all of the nights
I don't remember when you're round me Oh, yeah, yeah
I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious
I'm a sucker for you
You say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you About you, about you About you
And you're making the typical me break my typical rules
It's true, I'm a sucker for you, yeah Uh
I'm a sucker for you
I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious
I'm a sucker for you, yeah
Say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you About you, about you About you
And you're making the typical me break my typical rules
It's true, I'm a sucker for you Uh
I'm a sucker for you
",
7,DaBaby,Suge,7,7,13,7/6/19,1-Mar-19,"Trap,East Coast,Rap","Jetsonmade, Pooh beatz, Dababy","Suge 
Pooh, you a fool for this one
Ha
Oh Lord, Jetson made another one
Hah
Pack in the mail, it's gone Uh
She like how I smell, cologne Yeah
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good Good
Play if you want, let's do it Ha
I'm a young CEO, Suge Yeah
Yeah, yeah
The first nigga play, I'ma body a nigga Ha
I just checked my balance
I'll probably pull up to your hood
And come buy me a nigga No cap
You know that your ho told you that nigga crazy
Don't think that she lied to you, nigga Bitch
Get caught with your ho when I'm popping em both
Now they high just like Bobby and Whitney Haa
Say I'm the goat, act like I don't know
But fuck it, I'm obviously winnin'
Don't make me go hit the bank and take out a hundred
To show you our pockets are different Ha
I'm out with your bitch and I only want knowledge
She got a lil' mileage, I'm chilling Uh
You disrespect me and I'll beat your ass up
All in front of your partners and children Ahh, ahh
I'm the type to let a nigga think that I'm broke
Until I pop out with a million I pop
Take 20K and put that on your head
And make one of your partners come kill you Yeah
Say he fucking with me then he gotta grow up
'Cause this nigga gotta be kidding Kiddin'
This shit, it can't fit in my pocket
I got it, like I hit the lottery, nigga Hot, hot, hot
Opp, I'll slap the shit out a nigga
No talkin', I don't like to argue with niggas I don't
Ain't gon' be no more laughin'
You see me whip out guns, I'm gon' be done shot me a nigga No cap
I don't follow no bitches on IG
But all of your bitches, they follow a nigga Ha
And that lil' nigga ain't gon' shoot shit with that gun
He just pull it out in his pictures Bitch, uh
Hah
Pack in the mail, it's gone Uh
She like how I smell, cologne Yeah
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good Good
Play if you want, let's do it Ha
I'm a young CEO, Suge Yeah
Yeah, yeah
Hah
Pack in the mail, it's gone Uh
She like how I smell, cologne Yeah
I just signed a deal, I'm on
Yeah, yeah
I go where I want
I'm good Good
Play if you want, let's do it Ha
I'm a young CEO, Suge Yeah
Yeah, yeah
Talking my shit, I'ma pop that Pop
Got like thirty-two thousand in one of my pockets
The other one, that's where the Glock at Glock
You little niggas wanna be internet gangster
Man, tell all these little niggas stop that Ha
Been done burnt me a nigga in front of the store
Where your mammy and grandmama shop at Bitch
Hopped out on a whole other wave from these niggas
Let's see one of you little niggas top that
I will turn a nigga into a convertible
Push me a lil' nigga top back Vroom
Her boyfriend be hating and calling her groupie
Just cause she like all my music Ha
She'll send me a text and then delete the message
He tryna find out, it's confusin'
I don't know what these niggas is thinking about
Use the brain in your head fore you lose it Bitch
I'll pull up after school and I'll teach her some shit
Tell your bro I'm a motherfucking tutor
'Member I used to cheat off a pretty bitch test
All the teachers, they thought I was stupid Uh huh
Was expecting the box to pull up on a truck
Man, this nigga pulled up on a scooter The fuck?
Hah
Pack in the mail, it's gone Uh
She like how I smell, cologne Yeah
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good Good
Play if you want, let's do it Ha
I'm a young CEO, Suge Yeah
Yeah, yeah
Hah
Pack in the mail, it's gone Uh
She like how I smell, cologne Yeah
I just signed a deal, I'm on
Yeah, yeah
I go where I want
I'm good Good
Play if you want, let's do it Ha
I'm a young CEO, Suge Yeah
Yeah, yeah
",
8,Drake,Money In The Grave,8,7,2,7/6/19,15-Jun-19,"Hip-Hop,Rap,Basketball,NBA,Canada","Asoteric, Ljay currie, Cydney christine, Rick ross, Drake","Money in the Grave 
Yeah, okay
Lil CC on the beat, mmm
Yeah, yeah
I mean, where the fuck should I really even start?
I got hoes that I'm keeping in the dark
I got my niggas cross the street living large
Thinking back to the fact that they dead
Thought my raps wasn't facts til they sat with the bars
I got two phones, one need a charge
Yeah, they twins, I could tell they ass apart
I got big packs coming on the way
I got big stacks coming out the safe
I got Lil Max with me, he the wave
It's a big gap between us in the game
In the next life, I'm tryna stay paid
When I die, put my money in the grave
When I die, put my money in the grave
I really gotta put a couple niggas in they place
Really just lapped every nigga in the race
I really might tat Realest Nigga on my face
Lil CC let it slap with the bass
I used to save hoes with a mask and a cape
Now I'm like, Nah, love, I'm good, go away""
Ain't about to die with no money, I done gave it
I was on top when that shit meant a lot
Still on top like I'm scared of the drop
Still on top and these niggas wanna swap
Niggas wanna swap like it's Slauson or Watts
I don't wanna change cause I'm good where I'm at
Mob ties, so I'm always good where I'm at
Word to Junior, Jazzy, Baby J
Tell em when I die, put my money in the grave
Couple figures, killers call and collect Collect
She fuck a nigga, then she on to the next Next
Really living large, she in awe with a mack
When you niggas thinking small in the mall with a rat Rat
Roll with us if you really wanna get it Get it
Go get a half a million in the Sprinter Sprinter
Phone ringin', bitches know a big tipper Tipper
I got the hookup and there's really no limit Limit
Dead broke is in you nigga DNA DNA
Rickey Smiley's in Decatur with the ye
Lil' nigga, just another state case
Bury my motherfucking Chase Bank, time to bounce Bounce
Gotta count on my allowance Gotta count on my allowance
You niggas snitches so I gotta reroute it So I gotta reroute it
A nigga dripping like I got a zillion dollars
Got the trap jumping like Zion when I rebound it
Then I'm out Then I'm out
And I'll never talk about it About it
The homies quiet, but we all smoke the loudest Loudest
Rich niggas and I'm really being modest
'Cause the way I do my deals, never treated like a artist
Want the house House
You could DM my accountant
My per diem six figures and I'm countin'
Nine figures was the goal til I hit it
These niggas ain't livin', so bury mine with me
Ross got it Maybach Music
When I die, put my money in the grave
I really gotta put a couple niggas in they place
Really just lapped every nigga in the race
I really might tat Realest Nigga on my face
Lil CC let it slap with the bass
I used to save hoes with a mask and a cape
Now I'm like, Nah, love, I'm good, go away""
Ain't about to die with no money, I done gave it
",Rick Ross
9,Chris Brown,No Guidance,9,9,3,7/6/19,8-Jun-19,"Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B","Velous, J louis, Vinylz, Michee patrick lebrun, Teddy walton, Nija, Drake, Chris brown","No Guidance 
Before I die I'm tryna fuck you, baby
Hopefully we don't have no babies
I don't even wanna go back home
Hopefully, I don't leave you on your own
Ayy
Trips that you plan for the next whole week
Bands too long for a nigga so cheap
And your flex OD, and your sex OD
You got it, girl, you got it Ayy
You got it, girl, you got Yeah
Pretty lil' thing, you got a bag and now you wildin'
You just took it off the lot, no mileage
Way they hitting you, the DM looking violent
Talking wild, you come around and now they silent
Flew the coop at 17, no guidance
You be staying low but you know what the vibes is
Ain't never got you nowhere being modest
Popping shit but only cause you know you're poppin', yeah
You got it, girl, you got it Ayy
You got it, girl, you got it
Lil' baby in her bag, in her Birkin
No nine to five, put the work in
Flaws and all, I love em all, to me, you're perfect
Baby girl, you got it, girl, you got it, girl Oh-oh
You got it, girl, you got it, girl Ooh
I don't wanna play no games, play no games
Fuck around, give you my last name Oh
Know you tired of the same damn thing
That's okay cause, baby, you
You got it, girl, you got it Oh, ooh, ayy
You got it, girl, you got it Got it
You the only one I'm tryna make love to, picking and choosin'
They ain't really love you, running games, usin'
All your stupid exes, they gon' call again
Tell em that a real nigga stepping in
Don't let them niggas try you, test your patience
Tell em that it's over, ain't no debating Uh
All you need is me playing on your playlist
You ain't gotta be frustrated
I don't wanna play no games, play no games Oh
Fuck around, give you my last name My last name
Know you tired of the same damn thing Same damn thing
That's okay cause, baby, you
You got it, girl, you got it Oh, ooh, ayy
You got it, girl, you got it Got it
I don't wanna
Before I die, I'm tryna fuck you, baby Yeah
Hopefully, we don't have no babies Ooh
I don't even wanna go back home
Hopefully, I don't leave you on your own
You got it, girl, you got it, oh
Play no games No
Freaky Freaky
I can learn a lot from you, gotta come teach me Woo, woo
You a lil' hot girl, you a lil' sweetie No, sweet
Sweet like Pearland, sweet like Peachtree Like that
I can tell you crazy, but shit kind of intrigue me No, yeah, I like that
I don't wanna, I don't wanna
Seen it on the gram, I'm tryna see that shit in 3D, mami
I know I get around cause I like to move freely
I don't, I don't
But you could lock it down, I could tell by how you treat me
I don't, I don't
I seen how you did homeboy, so please take it easy No, yeah
Good to have me on your side, I ain't saying that you need me Yeah, yeah
Six God talk but I ain't tryna get preachy No, no, no
I seen how you did homeboy, please take it easier on me
'Cause I don't wanna No play no games, play no games
I don't wanna, I don't wanna
I don't wanna play no games, play no games
I don't, I don't
I don't, I don't
No
",Drake
10,Post Malone,Wow.,10,2,27,7/6/19,24-Dec-18,"Memes,Hip-Hop,Trap,Rap","Frank dukes, Billy walsh, Louis bell, Post malone","Wow 
Said she tired of little money, need a big boy
Pull up 20 inch blades like I'm Lil' Troy
Now it's everybody flockin', need a decoy
Shawty mixing up the vodka with the LaCroix, yeah
G-Wagen, G-Wagen, G-Wagen, G-Wagen
All the housewives pulling up Up, up
I got a lot of toys, 720S bumping Fall Out Boy
You was talking shit in the beginning Mm-mm
Back when I was feeling more forgiving More forgivin'
I know it piss you off to see me winning See me winnin'
See the igloo in my mouth when I be grinning I be grinnin', yeah
Hunnid bands in my pocket, it's on me
Hunnid deep when I roll like the army
Get more bottles, these bottles are lonely
It's a moment when I show up, got em sayin', Wow Wow, wow
Hunnid bands in my pocket, it's on me On me
Yeah, your grandmama probably know me Know me
Get more bottles, these bottles are lonely
It's a moment when I show up, got em sayin', Wow Wow, wow
Everywhere I go Hey
Catch me on the block like I'm Mutombo Wow
750 Lambo in the Utah snow Skrrt
Trunk in the front like that shit Dumbo, yeah
Cut the roof off like a nip-tuck
Pull up to the house with some big butts
Turn the kitchen counter to a strip-club Yeah, wow
Me and Dre came for the...
When I got guap, all of y'all just appeared Wow
Before I dropped Stoney, none of y'all really cared Cared
Now they always say, Congratulations, to the kid Kid
And this is not a 40, but I'm pouring out this shit Yeah
Used to have a lot, but I got more now Yup
Made another hit cause I got bored now Yup
Always going for it, never punt fourth down
Last call, Hail Mary, Prescott touchdown, ayy
Hunnid bands in my pocket, it's on me On me
Hunnid deep when I roll like the army Hey
Get more bottles, these bottles are lonely
It's a moment when I show up, got em sayin', Wow Wow, wow
Hunnid bands in my pocket, it's on me Yeah, yeah
Yeah, your grandmama probably know me Yeah, yeah
Get more bottles, these bottles are lonely
It's a moment when I show up, got em sayin', Wow""
Got em sayin', Wow""
Ayy, ayy, wow
Sayin', Wow""
Wow
Wow
",
